id,first_name,last_name,email,gender,year_level,major,CoreCourses_Sem1,CoreCourses_Sem2,Electivesminor_Sem1,Electivesminor_Sem2,CoreCourses_Summer
620133016,Hendrik,Gibard,Hendrik.Gibard@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","GEOG1231, MICR1011","ELET1400, MICR1010, CHEM1902",
620133017,Osborn,McCarl,Osborn.McCarl@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","CHEM2210, CHEM3110, COMP3801",PHYS3565,
620133018,Bret,Emmines,Bret.Emmines@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","BIOC2014, ELET3430, CHEM2010, ELET3405","GEOG2232, COMP3192, ELET2420, GEOL2201","SWEN3101,SWEN3145,SWEN3920"
620133019,Klarika,Lambdin,Klarika.Lambdin@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","COMP3802, GEOG3331, BIOC3013",COMP3162,COMP3901
620133020,Berrie,Pendlebury,Berrie.Pendlebury@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","BIOC2014, GEOG3131, CHEM3110","MATH2411, BIOC3014",
620133021,Ketty,Delagnes,Ketty.Delagnes@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3912,"PHYS2561, COMP3162",COMP3901
620133022,Dulcia,Tallet,Dulcia.Tallet@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",CHEM2402,"MATH1151, PHYS1422, ELET1400, GEOG2232","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133023,Riobard,Topliss,Riobard.Topliss@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","GEOL2202, BIOC2014","MATH2411, GEOG2131, MICR2211, CHEM2110",COMP3901
620133024,Leonardo,Rosell,Leonardo.Rosell@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",CHEM2210,"PHYS3351, COMP3192",COMP3901
620133025,Ellie,Eplate,Ellie.Eplate@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1411, PHYS1412","GEOG1132, MICR1011","COMP1210,COMP1126,COMP1127,COMP1161"
620133026,Betteann,Calabry,Betteann.Calabry@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","MATH1142, GEOG1131, CHEM2402","ELET2415, MATH1152",
620133027,Alejandrina,Mansford,Alejandrina.Mansford@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3912,"BIOC3014, COMP2802, MATH3404",
620133028,Locke,Meritt,Locke.Meritt@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOL2202, CHEM2011, MATH3405",MICR2211,COMP3901
620133029,Hilarius,Chiswell,Hilarius.Chiswell@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","GEOL1101, BIOC1020, GEOG2231","MATH1151, CHEM2311, GEOG2131, PHYS2561","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133030,Herb,Voss,Herb.Voss@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",ELET2430,"PHYS2200, COMP3702, GEOG2332, ELET2410",COMP3901
620133031,Stesha,Cosh,Stesha.Cosh@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","GEOL1101, PHYS1411","GEOG1132, MICR1011","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161"
620133032,Rodie,Wison,Rodie.Wison@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","GEOG2331, ELET2430","GEOL2203, CHEM2110, GEOG2332, BIOC3011",
620133033,Bunni,Betz,Bunni.Betz@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",MATH2421,"GEOL2203, CHEM2311, MATH3424",COMP3901
620133034,Greggory,Spykings,Greggory.Spykings@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",MATH1142,"GEOG1132, COMP2802","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620133035,Curry,Woolvin,Curry.Woolvin@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",CHEM2010,"BIOC3014, PHYS2200, GEOL2203",
620133036,Mauricio,Croster,Mauricio.Croster@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MATH1141, GEOG1131, BIOC1021","BIOC1021, MICR1011",
620133037,Cam,Crafts,Cam.Crafts@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",GEOL1101,"CHEM1902, PHYS1422, GEOL1103",
620133038,Travus,Banasik,Travus.Banasik@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",CHEM2210,"MATH3424, BIOC3014, GEOL2203","SWEN3101,SWEN3145,SWEN3920"
620133039,Aubree,Brightman,Aubree.Brightman@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",PHYS1411,"MICR1011, ELET1405, GEOG1132",
620133040,Stanislaw,Chark,Stanislaw.Chark@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOL2202, MATH2421, MATH3405",BIOC3014,
620133041,Jammal,Ratchford,Jammal.Ratchford@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","MATH2401, COMP3911","MATH3403, GEOL2203",COMP3901
620133042,Dame,Wordley,Dame.Wordley@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",GEOL2202,"MATH1152, CHEM2110","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620133043,Karol,Varian,Karol.Varian@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",GEOL1101,"PHYS1422, BIOC1020, BIOC1021",
620133044,Klemens,Cowoppe,Klemens.Cowoppe@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","PHYS2386, GEOG2331, BIOC1021, GEOL1102","MICR1011, BIOL2312",
620133045,Orlan,Alster,Orlan.Alster@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",GEOG1131,"BIOC1021, ELET2415, PHYS2296",
620133046,Penrod,Purvey,Penrod.Purvey@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","CHEM3110, GEOG2331, MATH2401",PHYS3300,COMP3901
620133047,Celestine,Joret,Celestine.Joret@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","GEOL2202, MATH3405","CHEM2311, CHEM3011, MATH3402",COMP3901
620133048,Thomasine,Lippatt,Thomasine.Lippatt@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MATH1141, PHYS1412, GEOG1231","MATH1152, PHYS1422",
620133049,Sayer,Peacey,Sayer.Peacey@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","ELET2430, GEOG3331, CHEM2011","PHYS2296, PHYS2561, GEOG2232, GEOG3132",
620133050,Walt,Seagrove,Walt.Seagrove@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",MATH1142,"GEOG1232, ELET2420, MICR1010","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620133051,Maribel,Carefull,Maribel.Carefull@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","CHEM1901, MICR1011, GEOG1231","MICR1011, MATH1151, PHYS1422",
620133052,Gayler,Eronie,Gayler.Eronie@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","MATH2401, PHYS2351, MATH2421, ELET2430",CHEM2110,
620133053,Ara,Stapforth,Ara.Stapforth@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",CHEM2010,"CHEM2110, GEOG2131","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133054,Gerome,Corpe,Gerome.Corpe@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","BIOC1020, ELET2405, CHEM2210, GEOG2231","GEOG1232, MATH2403, GEOL1103, MATH1151","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133055,Bernie,Haddington,Bernie.Haddington@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","PHYS2300, MICR1011, GEOG2233, CHEM1901",CHEM1902,
620133056,Reade,Izsak,Reade.Izsak@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","PHYS2386, COMP3652, CHEM2211, COMP3912",BIOC3011,
620133057,Beaufort,Lidgerton,Beaufort.Lidgerton@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","CHEM2210, PHYS2300, ELET2430, CHEM2010","ELET2410, MATH2411",
620133058,Kelbee,Arundell,Kelbee.Arundell@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","ELET3405, MATH3155, GEOG2233",ELET2420,
620133059,Zebadiah,Rhead,Zebadiah.Rhead@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",GEOG2131,"MICR2211, GEOG1232, MATH2407, CHEM2311",
620133060,Starlene,Bertlin,Starlene.Bertlin@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","CHEM1901, GEOL1102","GEOG2131, GEOL2203, COMP2802",
620133061,Neale,Fenix,Neale.Fenix@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOG2233, PHYS2386, PHYS2300, ELET2405","ELET2410, PHYS2200, GEOL2201",
620133062,Felike,Biskupek,Felike.Biskupek@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","CHEM1901, BIOC1021",MICR1011,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161"
620133063,Latashia,Klementz,Latashia.Klementz@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","ELET2430, GEOL3002, MATH2421",MATH2407,COMP3901
620133064,Bren,Downer,Bren.Downer@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","COMP3912, CHEM2010, ELET3211, CHEM2011","COMP3192, MATH2411",
620133065,Maynard,Doberer,Maynard.Doberer@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","GEOG2233, MICR1011, GEOG2131",ELET1405,"INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133066,Rasla,Shortt,Rasla.Shortt@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",MICR1010,"BIOC1020, MATH1151, GEOL1104",
620133067,Willey,Castledine,Willey.Castledine@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","CHEM2210, ELET2430","GEOL2203, PHYS3351, MATH3403",
620133068,Seward,Minister,Seward.Minister@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","COMP3801, ELET3430, GEOG3331, BIOC2014",MATH3403,
620133069,Elspeth,Fitzsimmons,Elspeth.Fitzsimmons@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","GEOG1131, CHEM1901","MICR1010, GEOL1104",
620133070,Marietta,Itzchaky,Marietta.Itzchaky@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","MATH2421, GEOG3331, GEOG2131","GEOG3333, CHEM3010, MATH3403","SWEN3101,SWEN3145,SWEN3920"
620133071,Oswell,Prestney,Oswell.Prestney@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",ELET3405,"PHYS3565, COMP3192, GEOG2332","SWEN3101,SWEN3145,SWEN3920"
620133072,Sidnee,Gianasi,Sidnee.Gianasi@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","PHYS2300, BIOC3013, MATH3155","PHYS2561, GEOL2201, ELET2415",COMP3901
620133073,Emmy,Koschek,Emmy.Koschek@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1412, CHEM1901, GEOG1131",GEOG1132,"COMP1210,COMP1126,COMP1127,COMP1161"
620133074,Trudi,Bonfield,Trudi.Bonfield@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",MATH3401,"COMP3192, CHEM2110",
620133075,Mallory,Belham,Mallory.Belham@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",BIOC1021,ELET1405,
620133076,Justino,O' Donohoe,Justino.O' Donohoe@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","CHEM1901, GEOG1131",GEOG1132,
620133077,Cyrille,Grima,Cyrille.Grima@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","COMP3912, PHYS2351, GEOG2331","COMP3702, ELET2410, GEOG3333, MATH3404",
620133078,Terri-jo,Sleney,Terri-jo.Sleney@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",GEOL1102,MICR1010,"COMP1210,COMP1126,COMP1127,COMP1161"
620133079,Rebe,Merry,Rebe.Merry@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","PHYS2300, GEOG2233",COMP2802,COMP3901
620133080,Mackenzie,Wakeham,Mackenzie.Wakeham@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","BIOC2014, GEOG2331, CHEM2011, PHYS2351","GEOG2332, ELET1400, ELET2210, MATH1152","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620133081,Deloria,Ferrero,Deloria.Ferrero@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","BIOC1021, MICR1010",MICR1011,"COMP1210,COMP1126,COMP1127,COMP1161"
620133082,Gorden,Thyng,Gorden.Thyng@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","CHEM2402, BIOC1021, MICR1011","BIOC1020, MATH2407",
620133083,Ravi,Illem,Ravi.Illem@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","MATH2404, GEOG2131",GEOG2332,
620133084,Drucie,Rue,Drucie.Rue@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",MICR1011,"MICR1011, BIOC1020","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161"
620133085,William,Chesterton,William.Chesterton@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",BIOC1021,"MATH1151, MICR1011","COMP1210,COMP1126,COMP1127,COMP1161"
620133086,Ogden,Romanski,Ogden.Romanski@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MATH1141, MATH1142, PHYS1411","PHYS1421, MICR1010, ELET1400","COMP1210,COMP1126,COMP1127,COMP1161"
620133087,Evelyn,Privost,Evelyn.Privost@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",ELET3430,"MATH3402, COMP3162",
620133088,Zena,Bonick,Zena.Bonick@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","BIOC3013, GEOL2202, MATH2401, COMP3191","CHEM2110, GEOG3333",
620133089,Daryl,O'Feeney,Daryl.O'Feeney@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","GEOL2202, PHYS2386, ELET2405, ELET2430","GEOG3132, MATH3404, PHYS3351, CHEM3011",
620133090,Alexina,Barca,Alexina.Barca@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",GEOG2233,"CHEM3011, ELET2210",
620133091,Pall,Laugherane,Pall.Laugherane@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","CHEM2402, PHYS2386","PHYS2296, ELET2210, MATH2411, GEOG2332","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133092,Webster,Minihan,Webster.Minihan@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOG2331, CHEM2010, CHEM3110, PHYS2300","BIOL2312, GEOL2201, PHYS3341",
620133093,Verna,Matfield,Verna.Matfield@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOG2233, COMP3652, CHEM3110",PHYS3351,COMP3901
620133094,Gleda,Tregidga,Gleda.Tregidga@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","ELET2430, MATH1142","PHYS1421, CHEM2311, MICR1010, GEOG2131","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620133095,Cristie,Shall,Cristie.Shall@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","MATH2404, ELET2430","ELET1405, PHYS2561, MATH1152",
620133096,Avril,Plumer,Avril.Plumer@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","MATH1142, GEOG2331, BIOC1020, GEOL2202","PHYS1421, MATH2407, PHYS1422",
620133097,Sioux,Delwater,Sioux.Delwater@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","GEOG1131, CHEM1901, BIOC1020","BIOC1021, CHEM1902, GEOG1132",
620133098,Tito,Rogerson,Tito.Rogerson@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",MATH2421,"PHYS2296, MATH3424, ELET2210",COMP3901
620133099,Olivette,Hentze,Olivette.Hentze@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",GEOG2331,BIOC3011,
620133100,Gaston,Onele,Gaston.Onele@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",MATH3401,"GEOG2232, MATH2407, BIOL2312, MATH3424",
620133101,Phyllis,Leachman,Phyllis.Leachman@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",GEOL1101,PHYS1422,
620133102,Tabbi,Ferrillo,Tabbi.Ferrillo@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1411, MATH1142",BIOC1020,
620133103,Yule,Fullbrook,Yule.Fullbrook@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","ELET3405, MATH2401, GEOG3131",COMP3410,
620133104,Ferdy,Feige,Ferdy.Feige@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",PHYS1411,"GEOG2332, ELET1405",
620133105,Beret,Spruce,Beret.Spruce@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","PHYS2386, ELET2405",MATH2411,
620133106,Ellissa,Monksfield,Ellissa.Monksfield@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MICR1011, BIOC1020",GEOL1103,
620133107,Roslyn,Solomonides,Roslyn.Solomonides@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","GEOG1231, MICR1010, PHYS1412","BIOC1020, GEOL1103","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161"
