id,first_name,last_name,email,gender,year_level,major,CoreCourses_Sem1,CoreCourses_Sem2,CoreCourses_Summer,Electivesminor_Sem1,Electivesminor_Sem2
620131244,Amandi,Clemot,Amandi.Clemot@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"BIOC1020, PHYS1411, CHEM1901","MATH1152, BIOC1020, MICR1010"
620131245,Gaby,Crystal,Gaby.Crystal@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"COMP3801, CHEM2011, MATH3401",GEOG2131
620131246,Carrol,Kristoffersson,Carrol.Kristoffersson@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","CHEM1901, MATH1142, GEOG1131","PHYS1422, ELET1405"
620131247,Englebert,Glowinski,Englebert.Glowinski@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"PHYS2351, CHEM2211, PHYS1412, CHEM2210","CHEM1902, MICR2211"
620131248,Les,Filimore,Les.Filimore@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"MATH1141, MICR1011, CHEM1901",GEOL1103
620131249,Trudi,McCourt,Trudi.McCourt@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,GEOL3002,"ELET2210, COMP3162, PHYS2561, PHYS3341"
620131250,Catlaina,Jerrans,Catlaina.Jerrans@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",BIOC1021,"MATH1152, ELET1405, MICR1010"
620131251,Kendell,Cheeke,Kendell.Cheeke@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,COMP3912,"CHEM2311, COMP3192, PHYS2561, BIOL2312"
620131252,Smith,Lockett,Smith.Lockett@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"GEOG2331, PHYS2386, MICR1010, MATH2401","GEOG1132, PHYS1422"
620131253,Rosa,Caslake,Rosa.Caslake@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"COMP3801, CHEM2310, GEOG2233, GEOG3131","GEOG3333, PHYS3351, MATH2403"
620131254,Ellis,Dollin,Ellis.Dollin@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"CHEM3110, ELET3430, COMP3801, COMP3912","BIOC3014, MATH2411, CHEM3010"
620131255,Kirstyn,Rolinson,Kirstyn.Rolinson@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"MICR1011, CHEM1901","ELET1400, MATH1152"
620131256,Wallie,Boothby,Wallie.Boothby@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MATH1141, GEOG1231, GEOL1101","ELET1405, GEOG1232, MATH1152"
620131257,Kennett,Moring,Kennett.Moring@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,GEOG2231,"CHEM2111, CHEM1902"
620131258,Coletta,Dodding,Coletta.Dodding@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","CHEM3110, MATH3155",COMP3192
620131259,Karine,Lidgertwood,Karine.Lidgertwood@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"ELET2430, MATH2401","CHEM3011, COMP3702, COMP2802"
620131260,Ivor,Teaser,Ivor.Teaser@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"ELET2430, PHYS2300, ELET3211, CHEM2010","GEOG2232, CHEM2110, MATH2403"
620131261,Alfons,Seleway,Alfons.Seleway@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","ELET3405, ELET2405, CHEM2010, MATH3401","GEOL2203, CHEM3011, COMP3162, BIOC3014"
620131262,Kelley,Fromant,Kelley.Fromant@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"MATH1141, GEOG1231","MATH1152, ELET1400, BIOC1021"
620131263,Natty,Reggler,Natty.Reggler@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"ELET3211, CHEM2402, CHEM2211, GEOL2202","BIOC3014, GEOG2131"
620131264,Sallie,Odney,Sallie.Odney@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"ELET3211, CHEM2402, MATH3401","BIOC3011, GEOG2332, MATH2407, CHEM2311"
620131265,Batsheva,Allom,Batsheva.Allom@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"BIOC1021, CHEM1901","MATH1152, PHYS1422, GEOG1232"
620131266,Luise,Macklam,Luise.Macklam@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",,GEOG1131,"COMP2802, PHYS1422, MICR2211, MATH2403"
620131267,Maximo,Gibbieson,Maximo.Gibbieson@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"MICR1010, PHYS1412, ELET2430, GEOG2233","MICR1011, GEOG1132, PHYS2200, ELET2415"
620131268,Drucill,Glendzer,Drucill.Glendzer@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","MICR1011, PHYS1411, CHEM1901","BIOC1020, MATH1152, GEOG1232"
620131269,Katleen,Ianittello,Katleen.Ianittello@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,GEOG1131,"GEOL1104, MICR1010, GEOG1132"
620131270,Reggie,McCrea,Reggie.McCrea@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"CHEM2210, MATH3401","PHYS3565, CHEM3011, BIOC3014"
620131271,Lorant,Adie,Lorant.Adie@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"ELET2405, PHYS1411, PHYS2300",GEOL2201
620131272,Hew,Micklewicz,Hew.Micklewicz@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"ELET3430, MATH3401, GEOG2331","CHEM2311, COMP3702, PHYS3341"
620131273,Theressa,Maclean,Theressa.Maclean@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"MATH3405, ELET2430","GEOG2131, COMP3162, CHEM3011, PHYS2561"
620131274,Moore,Keat,Moore.Keat@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"MICR1010, BIOC1021, BIOC1020, PHYS2351",ELET2410
620131275,Huberto,Skpsey,Huberto.Skpsey@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"ELET2430, MATH2401, MATH2404",GEOL2201
620131276,Emmett,Mantrip,Emmett.Mantrip@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"MATH2401, GEOL2202",GEOG2232
620131277,Pietrek,Vanyarkin,Pietrek.Vanyarkin@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,GEOG2231,GEOL2201
620131278,Chevalier,Pickworth,Chevalier.Pickworth@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"PHYS1412, GEOL1101",MICR1011
620131279,Nobie,Alesio,Nobie.Alesio@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140",CHEM1901,MATH2403
620131280,Giffie,Linge,Giffie.Linge@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","ELET2430, GEOL2202","ELET1405, BIOL2312, PHYS1421, GEOG2131"
620131281,Clio,Dunster,Clio.Dunster@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,GEOG2233,"PHYS3565, PHYS3351"
620131282,Neddy,Tapin,Neddy.Tapin@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"BIOC1021, MATH1142","GEOL1104, GEOG1132"
620131283,Corene,Bagguley,Corene.Bagguley@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"GEOL1102, GEOL2202, CHEM2211, MATH1142",BIOC1020
620131284,Emerson,Saunter,Emerson.Saunter@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","MATH3405, GEOG2131, MATH2401, CHEM2211","PHYS2296, PHYS3300, COMP3192"
620131285,Jacob,Wyett,Jacob.Wyett@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","MATH1141, GEOL1101",MICR1011
620131286,Cathie,Callington,Cathie.Callington@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"PHYS2351, GEOL2202, COMP3911","BIOL2312, GEOL2201, MICR2211, COMP3410"
620131287,Danni,Slucock,Danni.Slucock@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,CHEM2402,BIOC3011
620131288,Mariellen,Darmody,Mariellen.Darmody@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","BIOC3013, COMP3801","GEOL2201, GEOG2232, ELET2420, BIOC3011"
620131289,Meryl,Slatcher,Meryl.Slatcher@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"GEOG1231, PHYS1412, BIOC1021","GEOG1132, PHYS1421, MICR1011"
620131290,Merwyn,Fahrenbacher,Merwyn.Fahrenbacher@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"GEOG1231, MATH1141, PHYS1412",MATH1151
620131291,Linette,Ordish,Linette.Ordish@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,PHYS2351,"MATH3402, COMP3192, GEOG2232"
620131292,Fayette,Edwin,Fayette.Edwin@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"MATH2404, MICR1011, GEOG2331",MICR1010
620131293,Caren,Fealy,Caren.Fealy@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"MATH1141, GEOL1101",GEOG1132
620131294,Ursula,Gordge,Ursula.Gordge@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,GEOG2131,"PHYS3341, COMP3162"
620131295,Naomi,Sewall,Naomi.Sewall@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,GEOG3331,"BIOC3011, GEOG2232, ELET2410"
620131296,Matelda,Cullip,Matelda.Cullip@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"MATH2421, COMP3801","COMP3702, CHEM2311"
620131297,Culver,Ilchenko,Culver.Ilchenko@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","MATH1142, GEOL1102, GEOL1101",CHEM1902
620131298,Cobb,Bartoszinski,Cobb.Bartoszinski@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"MATH3155, BIOC3013, ELET3430","COMP3702, COMP3192"
620131299,Papageno,Coulson,Papageno.Coulson@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","MICR1010, PHYS1411, MICR1011","PHYS1422, MATH1151"
620131300,Dewey,Bocken,Dewey.Bocken@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",,"PHYS2386, GEOG2331","ELET2415, MICR1011"
620131301,Bidget,Stubbings,Bidget.Stubbings@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,MATH1142,MICR1011
620131302,Lyndel,Lorrimer,Lyndel.Lorrimer@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"COMP3801, CHEM2211","ELET2415, COMP2802"
620131303,Rowena,Wandrey,Rowena.Wandrey@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"MATH1141, CHEM2402",PHYS2296
620131304,Tove,Kupper,Tove.Kupper@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"MATH3155, GEOG2131","COMP3410, PHYS2200, GEOG2232, MATH3404"
620131305,Bent,Winspurr,Bent.Winspurr@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,CHEM2010,BIOC3011
620131306,Orville,McShirrie,Orville.McShirrie@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"CHEM2402, PHYS2300, GEOG3131","CHEM3011, COMP3702, MATH3404"
620131307,Amory,Moxsom,Amory.Moxsom@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","GEOG1131, GEOG1231, CHEM1901","GEOG1132, ELET1400"
620131308,Leola,Konzel,Leola.Konzel@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,ELET2430,"PHYS2561, BIOL2312, GEOG2332, CHEM2110"
620131309,Jeffrey,Gander,Jeffrey.Gander@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"MATH1141, MICR1010","MATH1152, CHEM1902, MATH1151"
620131310,Fred,Lichtfoth,Fred.Lichtfoth@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201",MATH1142,"PHYS1421, ELET2410, MATH2411, ELET1400"
620131311,Lynn,Egglestone,Lynn.Egglestone@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","MATH1141, PHYS1411","ELET2415, MATH2407"
620131312,Shermie,Menaul,Shermie.Menaul@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"BIOC3013, MATH3401, PHYS2386, GEOG2233","CHEM2110, COMP2802, BIOL2312"
620131313,Vaughan,Graysmark,Vaughan.Graysmark@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,COMP3911,"GEOL2203, CHEM2111"
620131314,Sharleen,Rubinowitz,Sharleen.Rubinowitz@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"COMP3652, MATH2401, MATH3155, MATH2421","COMP3192, BIOC3011, GEOG3132, CHEM3010"
620131315,Arlana,Addionisio,Arlana.Addionisio@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"MICR1010, GEOG1131, PHYS1411","MICR1011, MATH1152, BIOC1021"
620131316,Edd,Bateup,Edd.Bateup@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,PHYS2300,"COMP3162, COMP3410"
620131317,Arvie,Durak,Arvie.Durak@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"MATH1141, BIOC1020, PHYS2351, PHYS2386",BIOC1021
620131318,Barbabas,Bark,Barbabas.Bark@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,COMP3802,"MATH2407, GEOL2203"
620131319,Obadiah,Masterman,Obadiah.Masterman@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201",PHYS2300,"PHYS1421, GEOG1232, ELET2415, ELET2210"
620131320,Sheri,Chellam,Sheri.Chellam@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","PHYS2386, CHEM2402, MATH2421, GEOG2231","MICR1011, BIOL2312, CHEM2311, MATH2403"
620131321,Krystle,Tindle,Krystle.Tindle@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"GEOG1231, PHYS1412, GEOG1131",PHYS1421
620131322,Rourke,Schelle,Rourke.Schelle@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,GEOL1101,ELET1405
620131323,Sybil,Kneel,Sybil.Kneel@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"BIOC1021, MATH1141","MICR1011, ELET1400"
620131324,Lincoln,Anstiss,Lincoln.Anstiss@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,GEOG2331,"PHYS2561, COMP3410, MATH2403"
620131325,Dudley,Hicks,Dudley.Hicks@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"GEOG2131, BIOC1020, PHYS1411, MATH2401","GEOG1132, GEOG2131"
620131326,Frieda,Abella,Frieda.Abella@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201",CHEM2010,"ELET2410, GEOG2131"
620131327,Lincoln,Elliott,Lincoln.Elliott@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"GEOL1102, MICR1011","MATH1152, MICR1011"
620131328,Jammal,Skarin,Jammal.Skarin@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"MATH2401, ELET2430","COMP3192, CHEM2111, PHYS2200"
620131329,Patin,Alcott,Patin.Alcott@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","CHEM2310, PHYS1411, CHEM2211","MICR1010, PHYS2200, PHYS2561, BIOC1021"
620131330,Marion,Blackboro,Marion.Blackboro@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"GEOL3002, CHEM2011, GEOL2202, MATH3405",MATH3404
620131331,Thacher,Pittet,Thacher.Pittet@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"PHYS2386, GEOG2131","CHEM3010, CHEM2111"
620131332,Guendolen,Goggins,Guendolen.Goggins@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","GEOG1231, MICR1011","GEOG1132, MATH1151"
620131333,Julie,Howlett,Julie.Howlett@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"CHEM2010, CHEM2210, BIOC1020","MATH1152, COMP2802"
620131334,Britte,Ninnotti,Britte.Ninnotti@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",,"PHYS2300, CHEM2402","GEOL2203, ELET2410, PHYS2200, ELET2420"
620131335,Annette,Mulmuray,Annette.Mulmuray@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","GEOL2202, GEOG1131, PHYS2386, PHYS2300","PHYS2561, GEOL2203, PHYS1421, GEOG2232"
620131336,Sammy,Maxwell,Sammy.Maxwell@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"CHEM2011, BIOC1021, CHEM2211","ELET2420, PHYS2200, PHYS2561"
620131337,Blane,Somerlie,Blane.Somerlie@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"GEOL2202, CHEM2310, ELET2405, BIOC1020",CHEM2110
620131338,Sheffield,Pleven,Sheffield.Pleven@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"GEOG2131, CHEM2310","COMP3192, BIOL2312"
620131339,Paige,Domm,Paige.Domm@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"GEOL2202, MATH3155","BIOL2312, COMP3192, COMP3702, MATH3404"
620131340,Augy,Dungay,Augy.Dungay@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"CHEM1901, BIOC1021, GEOL1101","CHEM1902, GEOG1132, PHYS1421"
620131341,Essie,Newick,Essie.Newick@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"GEOG2331, BIOC2014","MATH3403, GEOG2131, GEOG3333, MATH2411"
620131342,Merola,Colleck,Merola.Colleck@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,BIOC1021,"MATH1152, PHYS1422"
620131343,Claudina,Pimbley,Claudina.Pimbley@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"CHEM1901, MATH1141, BIOC1021","MATH1151, PHYS1421, GEOL1103"
620131344,Honoria,Pilley,Honoria.Pilley@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"PHYS2386, GEOG2131, GEOG2331, MICR1011","MATH2407, PHYS2561, MATH2411"
620131345,Wells,Strase,Wells.Strase@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","BIOC3013, COMP3802, MATH3401, GEOG2231","MATH2403, CHEM2111, GEOG2131, GEOG3132"
620131346,Gaby,MacCartair,Gaby.MacCartair@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"GEOL2202, CHEM2011, MATH2404",CHEM2311
620131347,Eleanor,Leechman,Eleanor.Leechman@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"BIOC1020, GEOL1102, BIOC1021",MATH1152
620131348,Nickolai,McElwee,Nickolai.McElwee@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"GEOG2131, ELET2430, ELET3211","CHEM3010, CHEM2111, PHYS3351, ELET2415"
620131349,Shawn,Caccavella,Shawn.Caccavella@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","GEOG1131, PHYS1411","CHEM1902, GEOL1103, GEOL1104"
